Batch,Accession,Variety,SampleEvents,Sample_PImean,RiceEvents,Rice_Pimean,GenomeSize.mgb,GenomeSize.pg
180116,TX_1228,Wild,5803,84940,2943,15393,2454.999415,5.021464302
180116,TX_1228,Wild,6431,83810,1812,15649,2382.712569,4.873608537
180116,TX_1228,Wild,4288,88088,4008,16851,2325.698843,4.756992463
180117,TX_1228,Wild,675,81359,460,15601,2320.147369,4.745637459
180117,TX_1228,Wild,3470,81481,784,15683,2311.477198,4.727903462
180117,TX_1228,Wild,3839,82368,1099,15503,2363.769799,4.83486293
180117,TX_1228,Wild,3081,82739,1139,15862,2320.677159,4.746721094
180116,TX_1292,Wild,6148,83726,2620,16062,2319.119499,4.743535052
180116,TX_1292,Wild,3862,82271,3107,15763,2322.04326,4.749515321
180116,TX_1292,Wild,4294,83531,4638,15627,2378.123882,4.864222819
180116,TX_1292,Wild,4312,83200,2192,16075,2302.686159,4.70992224
180117,TX_1292,Wild,3199,83277,1308,15624,2371.347753,4.850362903
180117,TX_1292,Wild,3066,86076,1417,16352,2341.928351,4.790188356
180117,TX_1292,Wild,3903,83300,718,15583,2378.243599,4.864467689
180117,TX_1292,Wild,3971,82694,672,15586,2360.487656,4.828149621
180116,TX_1311,Wild,7767,84641,1311,16052,2345.924551,4.798362198
180116,TX_1311,Wild,6210,84206,1884,16036,2336.196645,4.778464704
180116,TX_1311,Wild,6824,87556,1234,16263,2395.232393,4.899216627
180116,TX_1311,Wild,5748,86718,2696,17021,2266.661077,4.636236414
180117,TX_1311,Wild,3483,84657,799,15899,2368.947689,4.845453802
180117,TX_1311,Wild,3696,86946,389,16528,2340.408725,4.787080106
180117,TX_1311,Wild,3504,88014,575,16288,2404.066098,4.917285118
180117,TX_1311,Wild,3231,88638,674,16368,2409.277016,4.927943548
180116,TX_1439,Wild,2348,87318,5828,16889,2300.182261,4.704800758
180116,TX_1439,Wild,3690,86806,4189,16961,2276.98776,4.657358646
180116,TX_1439,Wild,3987,88504,3772,17590,2238.5122,4.578660603
180117,TX_1439,Wild,2525,90102,1041,17234,2326.005559,4.757619821
180117,TX_1439,Wild,2590,96320,891,17975,2384.020473,4.876283727
180117,TX_1439,Wild,2190,92427,1335,18187,2260.998092,4.624653324
180117,TX_1439,Wild,2389,91135,1658,17913,2263.493636,4.629757718
180116,TX_1929,Wild,2692,87907,4949,17536,2230.259141,4.561779767
180116,TX_1929,Wild,3473,92768,4251,18292,2256.313317,4.615071069
180116,TX_1929,Wild,3946,97055,3654,18647,2315.641631,4.736421408
180116,TX_1929,Wild,4041,96436,3266,18368,2335.821886,4.777698171
180117,TX_1929,Wild,2386,89336,1444,17734,2241.20821,4.584175031
180117,TX_1929,Wild,1870,88732,1669,17762,2222.546267,4.546003828
180117,TX_1929,Wild,1854,89829,1790,17902,2232.427779,4.566215507
180117,TX_1929,Wild,2478,85842,1390,16999,2246.667792,4.595342079
180116,TX_1996,Wild,4077,84926,3791,16964,2227.279969,4.555686159
180116,TX_1996,Wild,2460,84842,5926,17265,2186.284726,4.471834347
180116,TX_1996,Wild,4511,85928,3368,16932,2257.817576,4.618147886
180116,TX_1996,Wild,1804,85868,6702,17249,2214.776115,4.530110731
180117,TX_1996,Wild,2304,82725,1482,15876,2318.238379,4.741732804
180117,TX_1996,Wild,1983,83506,1923,16099,2307.709758,4.720197528
180117,TX_1996,Wild,2230,82749,1705,16173,2276.3266,4.656006307
180117,TX_1996,Wild,2116,83343,1959,16283,2277.178696,4.657749186
180122,TX_2094,Wild,2887,79729,1387,14612,2427.554893,4.965329181
180122,TX_2094,Wild,2457,79895,1250,14845,2394.428124,4.897571573
180122,TX_2094,Wild,2592,78809,847,14471,2422.923371,4.95585585
180122,TX_2094,Wild,2502,79376,1718,14688,2404.301634,4.917766885
180123,TX_2094,Wild,5032,82650,3123,15210,2417.553254,4.944871795
180123,TX_2094,Wild,2141,82903,2002,15171,2431.187443,4.972759212
180123,TX_2094,Wild,3447,82059,692,15018,2430.952797,4.972279265
180123,TX_2094,Wild,3215,83336,745,15403,2407.075661,4.923440888
180122,TX_2277,Wild,3093,84905,971,14748,2561.312347,5.238917141
180122,TX_2277,Wild,3602,87600,640,15101,2580.838355,5.278855705
180122,TX_2277,Wild,3253,91102,801,16304,2485.971528,5.084814769
180122,TX_2277,Wild,3145,90776,990,15863,2545.939759,5.207473996
180123,TX_2277,Wild,2206,93335,1829,16164,2568.964458,5.254568795
180123,TX_2277,Wild,3416,90053,755,17098,2343.231939,4.79285472
180123,TX_2277,Wild,2575,91771,1739,16653,2451.745505,5.014808743
180123,TX_2277,Wild,2352,88375,1928,16601,2368.4138,4.844361785
180122,TX_2288,Wild,3623,84520,614,15691,2396.466,4.901739851
180122,TX_2288,Wild,3314,83538,986,15518,2395.028754,4.898800103
180122,TX_2288,Wild,3499,86316,678,15830,2425.899457,4.961943146
180122,TX_2288,Wild,3432,87139,572,16063,2413.50564,4.936592791
180123,TX_2288,Wild,2928,91349,1462,17018,2388.128458,4.884686215
180123,TX_2288,Wild,2868,94481,1444,17243,2437.777469,4.986238474
180123,TX_2288,Wild,3039,90791,1248,17665,2286.607184,4.677034249
180123,TX_2288,Wild,3507,94125,558,16274,2573.197278,5.263226619
